Time (ms), PV cell voltage (mV), Biosensor current (nA)
204,488.625,97.087,
408,491.25,97.717,
610,492.25,97.707,
812,489.625,97.045,
1018,488.625,97.293,
1218,491.75,97.769,
1423,492.375,97.521,
1625,489.125,96.983,
1827,488.75,97.541,
2031,492.125,97.851,
2236,492.125,97.293,
2437,488.875,96.973,
2642,489.375,97.603,
2845,492.125,97.789,
3046,491.75,97.211,
3248,488.625,97.056,
3452,490.25,97.686,
3655,492.25,97.779,
3859,491,97.097,
4062,488.625,97.118,
4264,490.875,97.769,
4467,492.25,97.779,
4671,490.125,97.035,
4874,488.5,97.149,
5080,491.375,97.8,
5280,492.375,97.727,
5482,489.625,97.056,
5686,488.625,97.324,
5888,491.75,97.758,
6092,492.25,97.531,
6295,489,97.056,
6498,489,97.614,
6701,492.125,97.81,
6904,491.875,97.231,
7108,488.75,97.004,
7311,489.5,97.707,
7514,492.25,97.851,
7716,491.5,97.159,
7920,488.625,97.014,
8122,490.625,97.727,
8326,492.25,97.81,
8529,490.375,97.118,
8732,488.625,97.149,
8935,491.5,97.758,
9137,492.375,97.655,
9340,489.375,97.045,
9544,488.625,97.407,
9747,491.875,97.81,
9950,492.25,97.438,
10152,489,96.983,
10357,488.875,97.593,
10559,492.125,97.851,
10762,491.875,97.252,
10966,488.75,97.025,
11169,489.75,97.665,
11372,492.25,97.82,
11575,491.25,97.169,
11777,488.625,97.087,
11981,490.875,97.769,
12184,492.375,97.738,
12387,490,97.066,
12590,488.5,97.211,
12794,491.5,97.82,
12995,492.375,97.696,
13199,489.5,97.035,
13403,488.625,97.355,
13604,491.875,97.831,
13807,492.25,97.51,
14012,489,97.045,
14213,489,97.583,
14417,492,97.769,
14619,491.875,97.242,
14823,488.75,97.035,
15026,489.5,97.727,
15229,492.25,97.831,
15432,491.25,97.118,
15635,488.5,97.045,
15838,490.625,97.769,
16041,492.25,97.851,
16252,490.375,97.128,
16447,488.625,97.159,
16650,491.375,97.789,
16854,492.25,97.727,
17057,489.5,97.128,
17260,488.625,97.355,
17463,491.75,97.841,
17666,492.375,97.552,
17870,489,97.056,
18072,488.875,97.645,
18275,492,97.893,
18477,492,97.314,
18681,488.75,97.004,
