Time (ms), PV cell voltage (mV), Biosensor current (nA)
211,493,1181.375,
406,489.5,1186.375,
608,493.375,1191,
811,490.75,1180,
1014,490.125,1189.25,
1217,493.625,1188.125,
1421,489.875,1180.75,
1624,492.125,1190.875,
1826,493.5,1183,
2031,489.5,1182,
2233,493.125,1190.875,
2436,492.375,1181.375,
2639,489.5,1188.375,
2843,493.5,1190.75,
3046,490.375,1180,
3248,490.625,1189.5,
3452,493.75,1186.25,
3654,489.75,1181,
3859,492.5,1191.375,
4061,493.25,1181.875,
4263,489.5,1183.375,
4468,493.25,1191.125,
4670,491.25,1180.875,
4873,489.75,1189.625,
5076,493.625,1189.5,
5280,490.125,1179.875,
5483,491.25,1190.25,
5686,493.75,1184.375,
5888,489.625,1182.25,
6092,492.875,1191.375,
6295,493,1181.25,
6499,489.375,1184.875,
6701,493.375,1191.25,
6904,491,1181.25,
7108,489.875,1189.75,
7310,493.625,1188.75,
7514,490,1180.25,
7717,491.625,1191.375,
7919,493.625,1184,
8123,489.625,1182,
8327,492.875,1190.25,
8529,492.875,1181.375,
8733,489.375,1185.5,
8935,493.375,1192,
9139,491.125,1181.625,
9342,489.875,1189.5,
9545,493.625,1189.375,
9748,490.125,1179.875,
9951,491.125,1190.75,
10154,493.625,1185.375,
10358,489.625,1181.75,
10560,492.875,1191.375,
10763,492.875,1181,
10967,489.5,1186.625,
11169,493.5,1191,
11372,490.75,1182.75,
11577,490,1189.75,
11779,493.625,1187.375,
11982,489.875,1180,
12186,492.25,1191.375,
12388,493.5,1183.625,
12592,489.5,1183.125,
12795,493.125,1191,
12997,492.375,1180.75,
13201,489.5,1188.5,
13403,493.625,1191.125,
13607,490.25,1181,
13810,490.625,1190.75,
14014,493.75,1185.375,
14216,489.625,1181.125,
14419,492.625,1191.625,
14622,493,1182.75,
14825,489.5,1186,
15028,493.375,1191.25,
15232,490.875,1180.375,
15435,490,1190.25,
15638,493.625,1189.5,
15840,489.875,1181.125,
16044,491.875,1191,
16248,493.5,1183,
16450,489.5,1182.5,
16653,493,1191.75,
16857,492.5,1182.25,
17059,489.375,1187.625,
17263,493.5,1190.75,
17467,490.625,1180.375,
17668,490.375,1190.375,
17871,493.625,1188.375,
18076,489.75,1181.25,
18279,492.375,1191,
18482,493.375,1181.875,
18685,489.5,1183.625,
18887,493.25,1192.125,
19092,491.625,1181.75,
19294,489.75,1189.125,
19496,493.625,1189.5,
19699,490.125,1180.125,
19903,491,1191,
20106,493.75,1186.25,
20309,489.625,1181.375,
20513,492.75,1190.875,
20715,493,1181.625,
20919,489.5,1184.75,
21122,493.375,1192.25,
21324,491.5,1181.375,
21528,489.75,1189,
21731,493.625,1188.875,
21933,490.125,1180.375,
22137,491.375,1191.25,
22340,493.625,1184.625,
22543,489.625,1181.75,
22746,492.875,1190.5,
22950,492.875,1181.25,
23152,489.5,1186.875,
23356,493.5,1191.875,
